channel_name,markov_result,first_touch,last_touch,linear_touch,total_cost,chanel_weight,cost_weight,roas,optimal_budget,CPA
Facebook,8841.248802858654,9094,9263,9108.63944568849,1481.7,0.29439427287089287,0.3050836988078325,0.9649623169683913,1429.7846650520655,0.16758944726461264
Instagram,6268.31445690107,3916,3921,3886.825160312714,641.2,0.2087211793054432,0.13202380217019788,1.580935981804033,1013.696151532746,0.10229225167446315
Online Display,3523.9027654855036,3666,3491,3506.1682016041004,554.9,0.11733826470050292,0.1142545349723063,1.0269899985059154,569.8767501709325,0.1574674549578694
Online Video,4678.384177725622,5576,5950,5813.887336068586,991.8,0.15577997395197196,0.20421273704367163,0.7628318204199861,756.5765994925422,0.2119962710035839
Paid Search,6720.14979702915,7780,7407,7716.479856326117,1187.1,0.22376630917118906,0.2444252270059917,0.9154796004984533,1086.765833751714,0.1766478480174347
