channel_name,markov_result,first_touch,last_touch,linear_touch,total_cost,chanel_weight,cost_weight,roas,optimal_budget
Facebook,8904.757486261127,9094,9263,9108.63944568849,296.3,0.2965089733038468,0.30505508081952026,0.9719850346609057,287.99916577002637
Instagram,6491.398617065868,3916,3921,3886.825160312714,128.2,0.21614939454801105,0.13198805724287038,1.6376435797541586,209.94590692448313
Online Display,3455.4643957703156,3666,3491,3506.1682016041004,111,0.11505941648143032,0.11427983115412335,1.006821722778498,111.75721122841327
Online Video,4784.541575655549,5576,5950,5813.887336068586,198.4,0.15931478341953748,0.20426232883764028,0.7799518605614755,154.74244913539673
Paid Search,6395.83792524714,7780,7407,7716.479856326117,237.4,0.21296743224717435,0.2444147019458458,0.8713364235117119,206.8552669416804
